year,total,name
2017,4112,Southern Alberta Upland
2018,1568,Southern Alberta Upland
2019,264,Southern Alberta Upland
1970,1481,Southern Rocky Mountain Trench
1971,1488,Southern Rocky Mountain Trench
1972,1801,Southern Rocky Mountain Trench
1973,1660,Southern Rocky Mountain Trench
1974,1638,Southern Rocky Mountain Trench
1975,1530,Southern Rocky Mountain Trench
1976,3324,Southern Rocky Mountain Trench
1977,2812,Southern Rocky Mountain Trench
1978,4236,Southern Rocky Mountain Trench
1979,4648,Southern Rocky Mountain Trench
1980,3899,Southern Rocky Mountain Trench
1981,4248,Southern Rocky Mountain Trench
1982,3647,Southern Rocky Mountain Trench
1983,4683,Southern Rocky Mountain Trench
1984,5173,Southern Rocky Mountain Trench
1985,5836,Southern Rocky Mountain Trench
1986,6257,Southern Rocky Mountain Trench
1987,6603,Southern Rocky Mountain Trench
1988,6689,Southern Rocky Mountain Trench
1989,5569,Southern Rocky Mountain Trench
1990,3897,Southern Rocky Mountain Trench
1991,5750,Southern Rocky Mountain Trench
1992,3457,Southern Rocky Mountain Trench
1993,3975,Southern Rocky Mountain Trench
1994,2537,Southern Rocky Mountain Trench
1995,3864,Southern Rocky Mountain Trench
1996,3593,Southern Rocky Mountain Trench
1997,2796,Southern Rocky Mountain Trench
1998,3338,Southern Rocky Mountain Trench
1999,3114,Southern Rocky Mountain Trench
2000,3929,Southern Rocky Mountain Trench
2001,2786,Southern Rocky Mountain Trench
2002,4259,Southern Rocky Mountain Trench
2003,2727,Southern Rocky Mountain Trench
2004,5530,Southern Rocky Mountain Trench
2005,3041,Southern Rocky Mountain Trench
2006,4140,Southern Rocky Mountain Trench
2007,4556,Southern Rocky Mountain Trench
2008,5313,Southern Rocky Mountain Trench
2009,3256,Southern Rocky Mountain Trench
2010,5141,Southern Rocky Mountain Trench
2011,4437,Southern Rocky Mountain Trench
2012,2670,Southern Rocky Mountain Trench
2013,5996,Southern Rocky Mountain Trench
2014,3586,Southern Rocky Mountain Trench
2015,3779,Southern Rocky Mountain Trench
2016,3431,Southern Rocky Mountain Trench
2017,2730,Southern Rocky Mountain Trench
2018,1377,Southern Rocky Mountain Trench
2019,36,Southern Rocky Mountain Trench
1970,8731,Thompson-Okanagan Plateau
1971,10035,Thompson-Okanagan Plateau
1972,10115,Thompson-Okanagan Plateau
1973,11418,Thompson-Okanagan Plateau
1974,8869,Thompson-Okanagan Plateau
1975,9257,Thompson-Okanagan Plateau
1976,11326,Thompson-Okanagan Plateau
1977,14205,Thompson-Okanagan Plateau
1978,9907,Thompson-Okanagan Plateau
1979,10716,Thompson-Okanagan Plateau
1980,10725,Thompson-Okanagan Plateau
1981,9222,Thompson-Okanagan Plateau
1982,11349,Thompson-Okanagan Plateau
1983,12979,Thompson-Okanagan Plateau
1984,13488,Thompson-Okanagan Plateau
1985,16207,Thompson-Okanagan Plateau
1986,14499,Thompson-Okanagan Plateau
1987,19190,Thompson-Okanagan Plateau
1988,17459,Thompson-Okanagan Plateau
1989,15783,Thompson-Okanagan Plateau
1990,15745,Thompson-Okanagan Plateau
1991,14607,Thompson-Okanagan Plateau
1992,14048,Thompson-Okanagan Plateau
1993,13528,Thompson-Okanagan Plateau
1994,12675,Thompson-Okanagan Plateau
1995,11981,Thompson-Okanagan Plateau
1996,12771,Thompson-Okanagan Plateau
1997,14482,Thompson-Okanagan Plateau
1998,17660,Thompson-Okanagan Plateau
1999,16495,Thompson-Okanagan Plateau
2000,17439,Thompson-Okanagan Plateau
2001,14618,Thompson-Okanagan Plateau
2002,18634,Thompson-Okanagan Plateau
2003,26426,Thompson-Okanagan Plateau
2004,36546,Thompson-Okanagan Plateau
2005,33328,Thompson-Okanagan Plateau
2006,34064,Thompson-Okanagan Plateau
2007,31893,Thompson-Okanagan Plateau
2008,27472,Thompson-Okanagan Plateau
2009,20083,Thompson-Okanagan Plateau
2010,24423,Thompson-Okanagan Plateau
2011,25215,Thompson-Okanagan Plateau
2012,24944,Thompson-Okanagan Plateau
2013,25613,Thompson-Okanagan Plateau
2014,25966,Thompson-Okanagan Plateau
2015,21497,Thompson-Okanagan Plateau
2016,22520,Thompson-Okanagan Plateau
2017,17624,Thompson-Okanagan Plateau
2018,15135,Thompson-Okanagan Plateau
2019,1822,Thompson-Okanagan Plateau
1970,3281,Western Continental Ranges
1971,2055,Western Continental Ranges
1972,3028,Western Continental Ranges
1973,3698,Western Continental Ranges
1974,3140,Western Continental Ranges
1975,1651,Western Continental Ranges
1976,3773,Western Continental Ranges
1977,3837,Western Continental Ranges
1978,4360,Western Continental Ranges
1979,3542,Western Continental Ranges
1980,2883,Western Continental Ranges
1981,2377,Western Continental Ranges
1982,2308,Western Continental Ranges
1983,3436,Western Continental Ranges
1984,3254,Western Continental Ranges
1985,5845,Western Continental Ranges
1986,4444,Western Continental Ranges
1987,2740,Western Continental Ranges
1988,3175,Western Continental Ranges
1989,3471,Western Continental Ranges
1990,2353,Western Continental Ranges
1991,2057,Western Continental Ranges
1992,2857,Western Continental Ranges
1993,2613,Western Continental Ranges
1994,2661,Western Continental Ranges
1995,3153,Western Continental Ranges
1996,3293,Western Continental Ranges
1997,3533,Western Continental Ranges
1998,3314,Western Continental Ranges
1999,2594,Western Continental Ranges
2000,2334,Western Continental Ranges
2001,3188,Western Continental Ranges
2002,2636,Western Continental Ranges
2003,2896,Western Continental Ranges
2004,3720,Western Continental Ranges
2005,2974,Western Continental Ranges
2006,3120,Western Continental Ranges
2007,4621,Western Continental Ranges
2008,3157,Western Continental Ranges
2009,1189,Western Continental Ranges
2010,2013,Western Continental Ranges
2011,2901,Western Continental Ranges
2012,2238,Western Continental Ranges
2013,3058,Western Continental Ranges
2014,2923,Western Continental Ranges
2015,4009,Western Continental Ranges
2016,2388,Western Continental Ranges
2017,2574,Western Continental Ranges
2018,2089,Western Continental Ranges
2019,280,Western Continental Ranges
1970,1676,Western Vancouver Island
1971,1722,Western Vancouver Island
1972,1586,Western Vancouver Island
1973,2237,Western Vancouver Island
1974,2500,Western Vancouver Island
1975,1271,Western Vancouver Island
1976,3546,Western Vancouver Island
1977,2519,Western Vancouver Island
1978,3837,Western Vancouver Island
1979,4897,Western Vancouver Island
1980,3844,Western Vancouver Island
1981,3036,Western Vancouver Island
1982,3464,Western Vancouver Island
1983,4215,Western Vancouver Island
1984,4800,Western Vancouver Island
1985,4471,Western Vancouver Island
1986,4996,Western Vancouver Island
1987,8605,Western Vancouver Island
1988,8352,Western Vancouver Island
1989,7960,Western Vancouver Island
1990,7997,Western Vancouver Island
1991,8332,Western Vancouver Island
1992,8814,Western Vancouver Island
1993,9397,Western Vancouver Island
1994,8969,Western Vancouver Island
1995,14792,Western Vancouver Island
1996,9280,Western Vancouver Island
1997,8024,Western Vancouver Island
1998,6300,Western Vancouver Island
1999,10474,Western Vancouver Island
2000,9484,Western Vancouver Island
2001,7997,Western Vancouver Island
2002,10217,Western Vancouver Island
2003,8322,Western Vancouver Island
2004,11785,Western Vancouver Island
2005,10518,Western Vancouver Island
2006,10605,Western Vancouver Island
2007,9537,Western Vancouver Island
2008,5886,Western Vancouver Island
2009,5552,Western Vancouver Island
2010,9509,Western Vancouver Island
2011,10375,Western Vancouver Island
2012,10597,Western Vancouver Island
2013,9140,Western Vancouver Island
2014,8748,Western Vancouver Island
2015,8980,Western Vancouver Island
2016,9764,Western Vancouver Island
2017,7993,Western Vancouver Island
2018,4334,Western Vancouver Island
2019,274,Western Vancouver Island
1970,0,Yukon-Stikine Highlands
1971,0,Yukon-Stikine Highlands
1972,0,Yukon-Stikine Highlands
1973,0,Yukon-Stikine Highlands
1974,0,Yukon-Stikine Highlands
1975,0,Yukon-Stikine Highlands
1976,0,Yukon-Stikine Highlands
1977,0,Yukon-Stikine Highlands
1978,0,Yukon-Stikine Highlands
1979,0,Yukon-Stikine Highlands
1980,0,Yukon-Stikine Highlands
1981,0,Yukon-Stikine Highlands
1982,0,Yukon-Stikine Highlands
1983,0,Yukon-Stikine Highlands
1984,0,Yukon-Stikine Highlands
1985,0,Yukon-Stikine Highlands
1986,0,Yukon-Stikine Highlands
1987,0,Yukon-Stikine Highlands
1988,0,Yukon-Stikine Highlands
1989,3,Yukon-Stikine Highlands
1990,0,Yukon-Stikine Highlands
1991,0,Yukon-Stikine Highlands
1992,0,Yukon-Stikine Highlands
1993,0,Yukon-Stikine Highlands
1994,0,Yukon-Stikine Highlands
1995,0,Yukon-Stikine Highlands
1996,0,Yukon-Stikine Highlands
1997,0,Yukon-Stikine Highlands
1998,0,Yukon-Stikine Highlands
1999,0,Yukon-Stikine Highlands
2000,0,Yukon-Stikine Highlands
2001,0,Yukon-Stikine Highlands
2002,0,Yukon-Stikine Highlands
2003,0,Yukon-Stikine Highlands
2004,0,Yukon-Stikine Highlands
2005,0,Yukon-Stikine Highlands
2006,0,Yukon-Stikine Highlands
2007,0,Yukon-Stikine Highlands
2008,0,Yukon-Stikine Highlands
2009,0,Yukon-Stikine Highlands
2010,0,Yukon-Stikine Highlands
2011,0,Yukon-Stikine Highlands
2012,0,Yukon-Stikine Highlands
2013,0,Yukon-Stikine Highlands
2014,0,Yukon-Stikine Highlands
2015,0,Yukon-Stikine Highlands
2016,0,Yukon-Stikine Highlands
2017,0,Yukon-Stikine Highlands
2018,0,Yukon-Stikine Highlands
2019,0,Yukon-Stikine Highlands
1970,0,NA
1971,0,NA
1972,9,NA
1973,4,NA
1974,8,NA
1975,0,NA
1976,2,NA
1977,0,NA
1978,0,NA
1979,0,NA
1980,0,NA
1981,0,NA
1982,0,NA
1983,0,NA
1984,0,NA
1985,0,NA
1986,0,NA
1987,12,NA
1988,0,NA
1989,0,NA
1990,0,NA
1991,0,NA
1992,0,NA
1993,0,NA
1994,0,NA
1995,0,NA
1996,3,NA
1997,0,NA
1998,0,NA
1999,1,NA
2000,0,NA
2001,17,NA
2002,7,NA
2003,0,NA
2004,0,NA
2005,0,NA
2006,0,NA
2007,0,NA
2008,0,NA
2009,0,NA
2010,0,NA
2011,1,NA
2012,0,NA
2013,0,NA
2014,0,NA
2015,0,NA
2016,0,NA
2017,98,NA
2018,0,NA
2019,0,NA
